VC,Face,Step,Audio,Face_pic,Picture_one,Picture_two,Text_one,Text_two,wd/nonce,Group
aek,M,1,aleah-saek-shaek-1.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,2,aleah-saek-shaek-2.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,3,aleah-saek-shaek-3.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,4,aleah-saek-shaek-4.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,5,aleah-saek-shaek-5.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,6,aleah-saek-shaek-6.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,7,aleah-saek-shaek-7.wav,male.png,sack.png,shack.png,sack,shack,w,A
ot,M,1,aleah-sote-shote-1.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,2,aleah-sote-shote-2.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,3,aleah-sote-shote-3.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,4,aleah-sote-shote-4.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,5,aleah-sote-shote-5.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,6,aleah-sote-shote-6.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,7,aleah-sote-shote-7.wav,male.png,sote.png,shote.png,sote,shote,n,A
ut,M,1,aleah-sute-shute-1.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,2,aleah-sute-shute-2.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,3,aleah-sute-shute-3.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,4,aleah-sute-shute-4.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,5,aleah-sute-shute-5.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,6,aleah-sute-shute-6.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,7,aleah-sute-shute-7.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
eg,M,1,aleah-suke-shuke-1.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,2,aleah-suke-shuke-2.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,3,aleah-suke-shuke-3.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,4,aleah-suke-shuke-4.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,5,aleah-suke-shuke-5.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,6,aleah-suke-shuke-6.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,7,aleah-suke-shuke-7.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
aek,F,1,aleah-saek-shaek-1.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,2,aleah-saek-shaek-2.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,3,aleah-saek-shaek-3.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,4,aleah-saek-shaek-4.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,5,aleah-saek-shaek-5.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,6,aleah-saek-shaek-6.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,7,aleah-saek-shaek-7.wav,female.png,sack.png,shack.png,sack,shack,w,B
ot,F,1,aleah-sote-shote-1.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,2,aleah-sote-shote-2.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,3,aleah-sote-shote-3.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,4,aleah-sote-shote-4.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,5,aleah-sote-shote-5.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,6,aleah-sote-shote-6.wav,female.png,sote.png,shote.png,sote,shote,n,B
ot,F,7,aleah-sote-shote-7.wav,female.png,sote.png,shote.png,sote,shote,n,B
ut,F,1,aleah-sute-shute-1.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,2,aleah-sute-shute-2.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,3,aleah-sute-shute-3.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,4,aleah-sute-shute-4.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,5,aleah-sute-shute-5.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,6,aleah-sute-shute-6.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
ut,F,7,aleah-sute-shute-7.wav,female.png,suit.png,shoot.png,suit,shoot,w,B
eg,F,1,aleah-suke-shuke-1.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,2,aleah-suke-shuke-2.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,3,aleah-suke-shuke-3.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,4,aleah-suke-shuke-4.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,5,aleah-suke-shuke-5.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,6,aleah-suke-shuke-6.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
eg,F,7,aleah-suke-shuke-7.wav,female.png,suke.png,shuke.png,suke,shuke,n,B
aek,S,1,aleah-saek-shaek-1.wav,silhouette.png,sack.png,shuke.png,sack,shack,w,C
aek,S,2,aleah-saek-shaek-2.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
aek,S,3,aleah-saek-shaek-3.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
aek,S,4,aleah-saek-shaek-4.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
aek,S,5,aleah-saek-shaek-5.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
aek,S,6,aleah-saek-shaek-6.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
aek,S,7,aleah-saek-shaek-7.wav,silhouette.png,sack.png,shack.png,sack,shack,w,C
ot,S,1,aleah-sote-shote-1.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,2,aleah-sote-shote-2.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,3,aleah-sote-shote-3.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,4,aleah-sote-shote-4.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,5,aleah-sote-shote-5.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,6,aleah-sote-shote-6.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ot,S,7,aleah-sote-shote-7.wav,silhouette.png,sote.png,shote.png,sote,shote,n,C
ut,S,1,aleah-sute-shute-1.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,2,aleah-sute-shute-2.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,3,aleah-sute-shute-3.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,4,aleah-sute-shute-4.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,5,aleah-sute-shute-5.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,6,aleah-sute-shute-6.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
ut,S,7,aleah-sute-shute-7.wav,silhouette.png,suit.png,shoot.png,suit,shoot,w,C
eg,S,1,aleah-suke-shuke-1.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,2,aleah-suke-shuke-2.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,3,aleah-suke-shuke-3.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,4,aleah-suke-shuke-4.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,5,aleah-suke-shuke-5.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,6,aleah-suke-shuke-6.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
eg,S,7,aleah-suke-shuke-7.wav,silhouette.png,suke.png,shuke.png,suke,shuke,n,C
aek,M,1,aleah-saek-shaek-1.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,2,aleah-saek-shaek-2.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,3,aleah-saek-shaek-3.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,4,aleah-saek-shaek-4.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,5,aleah-saek-shaek-5.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,6,aleah-saek-shaek-6.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,7,aleah-saek-shaek-7.wav,male.png,sack.png,shack.png,sack,shack,w,A
ot,M,1,aleah-sote-shote-1.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,2,aleah-sote-shote-2.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,3,aleah-sote-shote-3.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,4,aleah-sote-shote-4.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,5,aleah-sote-shote-5.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,6,aleah-sote-shote-6.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,7,aleah-sote-shote-7.wav,male.png,sote.png,shote.png,sote,shote,n,A
ut,M,1,aleah-sute-shute-1.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,2,aleah-sute-shute-2.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,3,aleah-sute-shute-3.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,4,aleah-sute-shute-4.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,5,aleah-sute-shute-5.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,6,aleah-sute-shute-6.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,7,aleah-sute-shute-7.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
eg,M,1,aleah-suke-shuke-1.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,2,aleah-suke-shuke-2.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,3,aleah-suke-shuke-3.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,4,aleah-suke-shuke-4.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,5,aleah-suke-shuke-5.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,6,aleah-suke-shuke-6.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
eg,M,7,aleah-suke-shuke-7.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
aek,F,1,aleah-saek-shaek-1.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,2,aleah-saek-shaek-2.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,3,aleah-saek-shaek-3.wav,female.png,sack.png,shack.png,sack,shack,w,B
aek,F,4,aleah-saek-shaek-4.wav,female.png,sack.png,shack.png,sack,shack,w,B
